question_id,question_content,A,B,C,D,true_answer,detail_explain,expert_common
44,Your company is planning on developing an application in AWS. This is a web based application. The application users will use their facebook or google identities for authentication. You want to have the ability to manage user profiles without having to add extra coding to manage this. Which of the below would assist in this. Please select:,(A) Create an OlDC identity provider in AWS,(B) Create a SAML provider in AWS,(C) Use AWS Cognito to manage the user profiles,(D) Use IAM users to manage the user profiles,C,"22The AWS Documentation mentions the followingOIDC identity providers are entities in 1AM that describe an identity provider (IdP) service thatsupports the OpenID Connect (OIDC) standard. You use an OIDC identity provider when you want toestablish trust between an OlDC-compatible IdP-such as Google, Salesforce, and many others-andyour AWS account This is useful if you are creating a mobile app or web application that requiresaccess to AWS resources, but you don't want to create custom sign-in code or manage your own useridentities Option A is invalid because in the security groups you would not mention this information/Option C is invalid because SAML is used for federated authentication Option D is invalid because youneed to use the OIDC identity provider in AWS For more information on ODIC identity providers,please refer to the below Link:https://docs.aws.amazon.com/IAM/latest/UserGuide/id roles providers create oidc.htmll The correctanswer is: Create an OIDC identity provider in AWS",
45,You need to create a policy and apply it for just an individual user. How could you accomplish this in the right way? Please select:,(A) Add an AWS managed policy for the user,(B) Add a service policy for the user,(C) Add an IAM role for the user,(D) Add an inline policy for the user,D,"Options A and B are incorrect since you need to add an inline policy just for the user Option C isinvalid because you don't assign an 1AM role to a user The AWS Documentation mentions thefollowing An inline policy is a policy that's embedded in a principal entity (a user, group, or role)-thatis, the policy is an inherent part of the principal entity. You can create a policy and embed it in aprincipal entity, either when you create the principal entity or later.For more information on 1AM Access and Inline policies, just browse to the below URL:https://docs.aws.amazon.com/IAM/latest/UserGuide/accessThe correct answer is: Add an inline policy for the user Submit your Feedback/Queries to our Experts",
48,A Security Analyst attempted to trouble shoot the monitoring of suspicious security group changes. The Analyst was told that there is an Amazon CloudWatch alarm in place for these AWS CloudTrail log events. The Analyst tested the monitoring setup by making a configuration change to the security group butdid not receive any alerts. Which of the following trouble shooting steps should the Analyst perform?,(A) Ensure that CloudTrail and S3 bucket access logging is enabled for the Analyst's AWS account.,(B) Verify that a metric filter was created and then mapped to an alarm. Check the alarm notification action.,(C) Check the CloudWatch dashboards to ensure that there is a metric configured with an a ppropriate dimension for security group changes.,(D) Verify that the Analyst's account is mapped to an IAM policy that includes permissions for cloudwatch:GetMetricStatistics and Cloudwatch: ListMetrics.,B,MetricFilter:Type: 'AWS::Logs::MetricFilter'Properties:LogGroupName: ''FilterPattern: >-{ (.eventName = AuthorizeSecurityGroupIngress) || (.eventName =AuthorizeSecurityGroupEgress) || (.eventName =RevokeSecurityGroupIngress) || (.eventName = RevokeSecurityGroupEgress)|| (.eventName = CreateSecurityGroup) || (.eventName =DeleteSecurityGroup) }MetricTransformations:- MetricValue: '1'MetricNamespace: CloudTrailMetricsMetricName: SecurityGroupEventCount,
49,A Security Engineer has been asked to create an automated process to disable IAM user access keys that are more than three months old. Which of the following options should the Security Engineer use?,"(A) In the AWS Console, choose the IAM service and select ""Users"". Review the ""Access Key Age""column.",(B) Define an IAM policy that denies access if the key age is more than three months and apply to allusers.,"(C) Write a script that uses the GenerateCredentialReport, GetCredentialReport, and UpdateAccessKey APIs.",(D) Create an Amazon CloudWatch alarm to detect aged access keys and use an AWS Lambda functionto disable the keys older than 90 days.,C,https://docs.aws.amazon.com/IAM/latest/APIReference/API_UpdateAccessKey.htmlhttps://docs.aws.amazon.com/IAM/latest/APIReference/API_GenerateCredentialReport.htmlhttps://docs.aws.amazon.com/IAM/latest/APIReference/API_GetCredentialReport.html,
51,The Security team believes that a former employee may have gained unauthorized access to AWS resources sometime in the past 3 months by using an identified access key. What approach would enable the Security team to find out what the former employee may have done within AWS?,(A) Use the AWS CloudTrail console to search for user activity.,(B) Use the Amazon CloudWatch Logs console to filter CloudTrail data by user.,(C) Use AWS Config to see what actions were taken by the user.,(D) Use Amazon Athena to query CloudTrail logs stored in Amazon S3.,A,You can use CloudTrail to search event history for the last 90 days. You can use CloudWatch queriesto search API history beyond the last 90 days. You can use Athena to query CloudTrail logs over thelast 90 days.https://aws.amazon.com/premiumsupport/knowledge-center/view-iam-history/,
52,A Software Engineer wrote a customized reporting service that will run on a fleet of AmazonEC2 instances. The company security policy states that application logs for the reporting service must be centrally collected. What is the MOST efficient way to meet these requirements?,(A) Write an AWS Lambda function that logs into the EC2 instance to pull the application logs from theEC2 instance and persists them into an Amazon S3 bucket.,"(B) Enable AWS CloudTrail logging for the AWS account, create a new Amazon S3 bucket, and then configure Amazon CloudWatch Logs to receive the application logs from CloudTrail.",(C) Create a simple cron job on the EC2 instances that synchronizes the application logs to an AmazonS3 bucket by using rsync.,"(D) Install the Amazon CloudWatch Logs Agent on the EC2 instances, and configure it to send the application logs to CloudWatch Logs.",D,https://aws.amazon.com/blogs/aws/cloudwatch-log-service/,
53,A Security Administrator is performing a log analysis as a result of a suspected AWS account compromise.The Administrator wants to analyze suspicious AWS CloudTrail log files but is overwhelmed by the volume of audit logs being generated. What approach enables the Administrator to search through the logs MOST efficiently?,"(A) Implement a ""write-only"" CloudTrail event filter to detect any modifications to the AWS account resources.",(B) Configure Amazon Macie to classify and discover sensitive data in the Amazon S3 bucket that contains the CloudTrail audit logs.,(C) Configure Amazon Athena to read from the CloudTrail S3 bucket and query the logs to examine account activities.,(D) Enable Amazon S3 event notifications to trigger an AWS Lambda function that sends an email alarm when there are new CloudTrail API entries.,C,,
55,"A water utility company uses a number of Amazon EC2 instances to manage updates to a fleet of 2,000 Internet of Things (IoT) field devices that monitor water quality. These devices each have unique access credentials. An operational safety policy requires that access to specific credentials is independently auditable. What is the MOST cost-effective way to manage the storage of credentials?",(A) Use AWS Systems Manager to store the credentials as Secure Strings Parameters. Secure by usingan AWS KMS key.,"(B) Use AWS Key Management System to store a master key, which is used to encrypt the credentials. The encrypted credentials are stored in an Amazon RDS instance.",(C) Use AWS Secrets Manager to store the credentials.,(D) Store the credentials in a JSON file on Amazon S3 with server-side encryption.,A,https://docs.aws.amazon.com/systems-manager/latest/userguide/parameter-store-advanced-parameters.html,
59,"The Information Technology department has stopped using Classic Load Balancers and switched to Application Load Balancers to save costs. After the switch, some users on older devices are no longer able to connect to the website. What is causing this situation?",(A) Application Load Balancers do not support older web browsers.,(B) The Perfect Forward Secrecy settings are not configured correctly.,(C) The intermediate certificate is installed within the Application Load Balancer.,(D) The cipher suites on the Application Load Balancers are blocking connections.,D,https://docs.aws.amazon.com/elasticloadbalancing/latest/application/create-https-listener.html,
60,Your CTO is very worried about the security of your AWS account. How best can you prevent hackers from completely hijacking your account? Please select:,(A) Use short but complex password on the root account and any administrators.,(B) Use AWS IAM Geo-Lock and disallow anyone from logging in except for in your city.,"(C) Use MFA on all users and accounts, especially on the root account.",(D) Don't write down or remember the root account password after creating the AWS account.,C,"Multi-factor authentication can add one more layer of security to your AWS account Even when you30go to your Security Credentials dashboard one of the items is to enable MFA on your root accountOption A is invalid because you need to have a good password policy Option B is invalid becausethere is no1AM Geo-Lock Option D is invalid because this is not a recommended practices For more informationon MFA, please visit the below URLhttp://docs.aws.amazon.com/IAM/latest/UserGuide/idcredentials mfa.htmllThe correct answer is: Use MFA on all users and accounts, especially on the root account.Submit your Feedback/Queries to our Experts",
61,"When you enable automatic key rotation for an existing CMK key where the backing key is managed by AWS, after how long is the key rotated? Please select:",(A) After 30 days,(B) After 128 days,(C) After 365 days,(D) After 3 years,D,"The AWS Documentation states the following* AWS managed CM Ks: You cannot manage key rotation for AWS managed CMKs. AWS KMSautomatically rotates AWS managed keys every three years (1095 days).Note: AWS-managed CMKs are rotated every 3yrs, Customer-Managed CMKs are rotated every 365-days from when rotation is enabled.Option A, B, C are invalid because the dettings for automatic key rotation is not changeable.For more information on key rotation please visit the below URLhttps://docs.aws.amazon.com/kms/latest/developereuide/rotate-keys.htmlAWS managed CMKs are CMKs in your account that are created, managed, and used on your behalfby an AWS service that is integrated with AWS KMS. This CMK is unique to your AWS account andregion. Only the service that created the AWS managed CMK can use it You can login to you 1AMdashbaord . Click on ""Encryption Keys"" You will find the list based on the services you are using asfollows:* aws/elasticfilesystem 1 aws/lightsail* aws/s3* aws/rds and many more31Detailed Guide: KMSYou can recognize AWS managed CMKs because their aliases have the format aws/service-name,such as aws/redshift. Typically, a service creates its AWS managed CMK in your account when you setup the service or the first time you use the CMfC The AWS services that integrate with AWS KMS canuse it in many different ways. Some services create AWS managed CMKs in your account. Otherservices require that you specify a customer managed CMK that you have created. And, otherssupport both types of CMKs to allow you the ease of an AWS managed CMK or the control of acustomer-managed CMK Rotation period for CMKs is as follows:* AWS managed CMKs: 1095 days* Customer managed CMKs: 365 daysSince question mentions about ""CMK where backing keys is managed by AWS"", its Amazon(AWS)managed and its rotation period turns out to be 1095 days{every 3 years) For more details, pleasecheck below AWS Docs:https://docs.aws.amazon.com/kms/latest/developerguide/concepts.htmlThe correct answer is: After 3 yearsSubmit your Feedback/Queries to our Experts",
62,A distributed web application is installed across several EC2 instances in public subnets residing in two Availability Zones. Apache logs show several intermittent brute-force attacks from hundreds of IP addresses at the layer 7 level over the past six months. What would be the BEST way to reduce the potential impact of these attacks in the future?,(A) Use custom route tables to prevent malicious traffic from routing to the instances.,(B) Update security groups to deny traffic from the originating source IP addresses.,(C) Use network ACLs.,(D) Install intrusion prevention software (IPS) on each instance.,D,"https://docs.aws.amazon.com/vpc/latest/userguide/amazon-vpc-limits.html NACL has limit 20 (canincrease to maximum 40 rule), and more rule will make more low-latency",
64,"A company's AWS account consists of approximately 300 IAM users. Now there is a mandate that an access change is required for 100 IAM users to have unlimited privileges to S3. As a system administrator, how can you implement this effectively so that there is no need to apply the policy at the individual user level? Please select:",(A) Create a new role and add each user to the IAM role,"(B) Use the IAM groups and add users, based upon their role, to different groups and apply the policy to group",(C) Create a policy and apply it to multiple users using a JSON script,(D) Create an S3 bucket policy with unlimited access which includes each user's AWS account ID,B,"Option A is incorrect since you don't add a user to the 1AM RoleOption C is incorrect since you don't assign multiple users to a policy Option D is incorrect since this isnot an ideal approach An 1AM group is used to collectively manage users who need the same set ofpermissions. By having groups, it becomes easier to manage permissions. So if you change thepermissions on the group scale, it will affect all the users in that group For more information on 1AMGroups, just browse to the below URL:https://docs.aws.amazon.com/IAM/latest/UserGuide/id_eroups.htmlThe correct answer is: Use the 1AM groups and add users, based upon their role, to different groupsand apply the policy to group Submit your Feedback/Queries to our Experts",
65,Your development team has started using AWS resources for development purposes. The AWS account has just been created. Your IT Security team is worried about possible leakage of AWS keys. What is the first level of measure that should be taken to protect the AWS account. Please select:,(A) Delete the AWS keys for the root account,(B) Create IAM Groups,(C) Create IAM Roles,(D) Restrict access using 1AM policies,A,"The first level or measure that should be taken is to delete the keys for the 1AM root user When youlog into your account and go to your Security Access dashboard, this is the first step that can be seen33Option B and C are wrong because creation of 1AM groups and roles will not change the impact ofleakage of AWS root access keys Option D is wrong because the first key aspect is to protect theaccess keys for the root account For more information on best practises for Security Access keys,please visit the below URL:https://docs.aws.amazon.com/eeneral/latest/gr/aws-access-keys-best-practices.htmlThe correct answer is: Delete the AWS keys for the root account Submit your Feedback/Queries toour Experts",
68,You want to track access requests for a particular S3 bucket. How can you achieve this in the easiest possible way? Please select:,(A) Enable server access logging for the bucket,(B) Enable Cloudwatch metrics for the bucket,(C) Enable Cloudwatch logs for the bucket,(D) Enable AWS Config for the S3 bucket,A,"The AWS Documentation mentions the foilTo track requests for access to your bucket you can enable access logging. Each access log recordprovides details about a single access request, such as the requester, bucket name, request time,request action, response status, and error code, if any.Options B and C are incorrect Cloudwatch is used for metrics and logging and cannot be used to trackaccess requests.Option D is incorrect since this can be used for Configuration management but for not for tracking S3bucket requests.For more information on S3 server logs, please refer to below UFhttps://docs.aws.amazon.com/AmazonS3/latest/dev/ServerLoes.htmlThe correct answer is: Enable server access logging for the bucket Submit your Feedback/Queries toour Experts",
70,"A Security Administrator at a university is configuring a fleet of Amazon EC2 instances. The EC2 instances are shared among students, and non-root SSH access is allowed. The Administrator is concerned about students attacking other AWS account resources by using the EC2 instance metadata service. What can the Administrator do to protect against this potential attack?",(A) Disable the EC2 instance metadata service.,(B) Log all student SSH interactive session activity.,(C) Implement ip tables-based restrictions on the instances.,(D) Install the Amazon Inspector agent on the instances.36,A,"""To turn off access to instance metadata on an existing instance.....""https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/configuring-instance-metadata-service.html You can disable the service for existing (running or stopped) ec2 instances.https://docs.aws.amazon.com/cli/latest/reference/ec2/modify-instance-metadata-options.html",
71,A Lambda function reads metadata from an S3 object and stores the metadata in a DynamoDB table. The function is triggered whenever an object is stored within the S3 bucket. How should the Lambda function be given access to the DynamoDB table? Please select:,(A) Create a VPC endpoint for DynamoDB within a VPC. Configure the Lambda function to access resources in the VPC.,(B) Create a resource policy that grants the Lambda function permissions to write to the DynamoDB table.Attach the poll to the DynamoDB table.,(C) Create an IAM user with permissions to write to the DynamoDB table. Store an access key for that user in the Lambda environment variables.,(D) Create an IAM service role with permissions to write to the DynamoDB table. Associate that role with the Lambda function.,D,"The ideal way is to create an 1AM role which has the required permissions and then associate it withthe Lambda function The AWS Documentation additionally mentions the following Each Lambdafunction has an 1AM role (execution role) associated with it. You specify the 1AM role when youcreate your Lambda function. Permissions you grant to this role determine what AWS Lambda can dowhen it assumes the role. There are two types of permissions that you grant to the 1AM role:If your Lambda function code accesses other AWS resources, such as to read an object from an S3bucket or write logs to CloudWatch Logs, you need to grant permissions for relevant Amazon S3 andCloudWatch actions to the role.If the event source is stream-based (Amazon Kinesis Data Streams and DynamoDB streams), AWSLambda polls these streams on your behalf. AWS Lambda needs permissions to poll the stream andread new records on the stream so you need to grant the relevant permissions to this role.Option A is invalid because the VPC endpoint allows access instances in a private subnet to accessDynamoDB Option B is invalid because resources policies are present for resources such as S3 andKMS, but not AWS Lambda Option C is invalid because AWS Roles should be used and not 1AM UsersFor more information on the Lambda permission model, please visit the below URL:https://docs.aws.amazon.com/lambda/latest/dg/intro-permission-model.html The correct answer is:Create an 1AM service role with permissions to write to the DynamoDB table.Associate that role with the Lambda function.Submit your Feedback/Queries to our Exp",
72,Every application in a company's portfolio has a separate AWS account for development and production. The security team wants to prevent the root user and all IAM users in the production accounts from accessing a specific set of unneeded services. How can they control this functionality? Please select:,(A) Create a Service Control Policy that denies access to the services. Assemble all production accounts in an organizational unit. Apply the policy to that organizational unit.,(B) Create a Service Control Policy that denies access to the services. Apply the policy to the root account.,(C) Create an IAM policy that denies access to the services. Associate the policy with an IAM group and enlist all users and the root users in this group.,(D) Create an IAM policy that denies access to the services. Create a Config Rule that checks that all users have the policy m assigned. Trigger a Lambda function that adds the policy when found missing.,A,"As an administrator of the master account of an organization, you can restrict which AWS servicesand individual API actions the users and roles in each member account can access. This restrictioneven overrides the administrators of member accounts in the organization. When AWS Organizationsblocks access to a service or API action for a member account a user or role in that account can'taccess any prohibited service or API action, even if an administrator of a member account explicitlygrants such permissions in an 1AM policy.Organization permissions overrule account permissions.Option B is invalid because service policies cannot be assigned to the root account at the accountlevel.Option C and D are invalid because 1AM policies alone at the account level would not be able tosuffice the requirement For more information, please visit the below URL id=docs_orgs_consolehttps://docs.aws.amazon.com/IAM/latest/UserGimanage attach-policy.htmlThe correct answer is: Create a Service Control Policy that denies access to the services. Assemble allproduction accounts in an organizational unit. Apply the policy to that organizational unit Submityour Feedback/Queries to our Experts",
73,Your company has been using AWS for hosting EC2 Instances for their web and databaseapplications. They want to have a compliance check to see the following Whether any ports are leftopen other than admin ones like SSH and RDP Whether any ports to the database server other thanones from the web server security group are open Which of the following can help achieve this in theeasiest way possible. You don't want to carry out an extra configuration changes?Please select:,(A) AWS Config,(B) AWS Trusted Advisor,(C) AWS Inspector,(D) AWSGuardDuty,B,"Trusted Advisor checks for compliance with the following security recommendations:Limited access to common administrative ports to only a small subset of addresses. This includesports 22 (SSH), 23 (Telnet) 3389 (RDP), and 5500 (VNQ.Limited access to common database ports. This includes ports 1433 (MSSQL Server), 1434 (MSSQLMonitor), 3306 (MySQL), Oracle (1521) and 5432 (PostgreSQL).38Option A is partially correct but then you would need to write custom rules for this. The AWS trustedadvisor can give you all o these checks on its dashboard Option C is incorrect. Amazon Inspectorneeds a software agent to be installed on all EC2 instances that are included in th.assessment target, the security of which you want to evaluate with Amazon Inspector. It monitorsthe behavior of the EC2 instance on which it is installed, including network, file system, and processactivity, and collects a wide set of behavior and configuration data (telemetry), which it then passesto the Amazon Inspector service.Our question's requirement is to choose a choice that is easy to implement. Hence Trusted Advisor ismore appropriate for this ) question.Options D is invalid because this service dont provide these details.For more information on the Trusted Advisor, please visit the following URLhttps://aws.amazon.com/premiumsupport/trustedadvisor>The correct answer is: AWS Trusted Advisor Submit your Feedback/Queries to our Experts",
74,Your IT Security team has identified a number of vulnerabilities across critical EC2 Instances inthe company's AWS Account. Which would be the easiest way to ensure these vulnerabilities areremediated?Please select:,(A) Create AWS Lambda functions to download the updates and patch the servers.,(B) Use AWS CLI commands to download the updates and patch the servers.,(C) Use AWS inspector to patch the servers,(D) Use AWS Systems Manager to patch the servers,D,"The AWS Documentation mentions the followingYou can quickly remediate patch and association compliance issues by using Systems Manager RunCommand. You can tat either instance IDs or Amazon EC2 tags and execute the AWS-RefreshAssociation document or the AWS-RunPatchBaseline document. If refreshing the associationor re-running the patch baseline fails to resolve the compliance issue, then you need to investigateyour associations, patch baselines, or instance configurations to understand why the Run Commandexecutions did not resolve the problem Options A and B are invalid because even though this ispossible, still from a maintenance perspective it would be difficult to maintain the Lambda functionsOption C is invalid because this service cannot be used to patch servers For more information onusing Systems Manager for compliance remediation please visit the below Link:https://docs.aws.amazon.com/systems-manaeer/latest/usereuide/sysman-compliance-fixing.htmlThe correct answer is: Use AWS Systems Manager to patch the servers Submit yourFeedback/Queries to our Experts",
75,A Security Engineer is looking for a way to control access to data that is being encryptedunder a CMK. The Engineer is also looking to use additional authenticated data (AAD) to preventtampering with ciphertext.Which action would provide the required functionality?,(A) Pass the key alias to AWS KMS when calling Encrypt and Decrypt API actions.,(B) Use IAM policies to restrict access to Encrypt and Decrypt API actions.,(C) Use kms:EncryptionContext as a condition when defining IAM policies for the CMK.39,(D) Use key policies to restrict access to the appropriate IAM groups.,D,,
77,An EC2 Instance hosts a Java based application that access a DynamoDB table. This EC2 Instance is currently serving production based users. Which of the following is a secure way of ensuring that the EC2 Instance access the Dynamo table Please select:,(A) Use IAM Roles with permissions to interact with DynamoDB and assign it to the EC2 Instance,(B) Use KMS keys with the right permissions to interact with DynamoDB and assign it to the EC2 Instance,(C) Use IAM Access Keys with the right permissions to interact with DynamoDB and assign it to the EC2 Instance,(D) Use IAM Access Groups with the right permissions to interact with DynamoDB and assign it to the EC2  Instance,A,"To always ensure secure access to AWS resources from EC2 Instances, always ensure to assign a Roleto the EC2 Instance Option B is invalid because KMS keys are not used as a mechanism for providingEC2 Instances access to AWS services. Option C is invalid Access keys is not a safe mechanism forproviding EC2 Instances access to AWS services. Option D is invalid because there is no way accessgroups can be assigned to EC2 Instances. For more information on 1AM Roles, please refer to thebelow URL:https://docs.aws.amazon.com/IAM/latest/UserGuide/id roles.htmlThe correct answer is: Use 1AM Roles with permissions to interact with DynamoDB and assign it tothe EC2 Instance Submit your Feedback/Queries to our Experts40",
78,"A company has set up the following structure to ensure that their S3 buckets always have logging enabled If there are any changes to the configuration to an S3 bucket, a config rule gets checked. If logging is disabled, then Lambda function is invoked. This Lambda function will again enable logging on the S3 bucket. Now there is an issue being encoutered with the entire flow. You have verified that the Lambda function is being invoked. But when logging is disabled for the bucket, the lambda function does not enable it again. Which of the following could be an issue Please select:",(A) The AWS Config rule is not configured properly,(B) The AWS Lambda function does not have appropriate permissions for the bucket,(C) The AWS Lambda function should use Node.js instead of python.,(D) You need to also use the API gateway to invoke the lambda function,B,"The most probable cause is that you have not allowed the Lambda functions to have the appropriatepermissions on the S3 bucket to make the relevant changes.Option A is invalid because this is more of a permission instead of a configuration rule issue.Option C is invalid because changing the language will not be the core solution.Option D is invalid because you don't necessarily need to use the API gateway service For moreinformation on accessing resources from a Lambda function, please refer to below URLhttps://docs.aws.amazon.com/lambda/latest/ds/accessing-resources.htmllThe correct answer is: The AWS Lambda function does not have appropriate permissions for thebucket Submit your Feedback/Queries to our Experts",
83,"A company has Windows Amazon EC2 instances in a VPC that are joined to on-premises Active Directory servers for domain services. The security team has enabled Amazon GuardDuty on the AWS account to alert on issues with the instances. During a weekly audit of network traffic, the Security Engineer notices that one of the EC2 instances is attempting to communicate with a known command-and-control server but failing. This alert does not show up in GuardDuty. Why did GuardDuty fail to alert to this behavior?",(A) GuardDuty did not have the appropriate alerts activated.,(B) GuardDuty does not see these DNS requests.,(C) GuardDuty only monitors active network traffic flow for command-and-control activity.,(D) GuardDuty does not report on command-and-control activity.,B,https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_data-sources.htmlhttps://docs.aws.amazon.com/guardduty/latest/ug/guardduty_backdoor.html,
84,"A company has an encrypted Amazon S3 bucket. An Application Developer has an IAM policy that allows access to the S3 bucket, but the Application Developer is unable to access objects within the bucket. What is a possible cause of the issue?",(A) The S3 ACL for the S3 bucket fails to explicitly grant access to the Application Developer,(B) The AWS KMS key for the S3 bucket fails to list the Application Developer as an administrator,(C) The S3 bucket policy fails to explicitly grant access to the Application Developer,(D) The S3 bucket policy explicitly denies access to the Application Developer,C,,
86,"An AWS Lambda function was misused to alter data, and a Security Engineer must identify who invoked the function and what output was produced. The Engineer cannot find any logs created by the Lambda function in Amazon CloudWatch Logs. Which of the following explains why the logs are not available?",(A) The execution role for the Lambda function did not grant permissions to write log data to CloudWatch Logs.,"(B) The Lambda function was executed by using Amazon API Gateway, so the logs are not stored in CloudWatch Logs.",(C) The execution role for the Lambda function did not grant permissions to write to the Amazon S3bucket where CloudWatch Logs stores the logs.,(D) The version of the Lambda function that was executed was not current.,A,,
87,"Your company has confidential documents stored in the simple storage service. Due to compliance requirements, you have to ensure that the data in the S3 bucket is available in a different geographical location. As an architect what is the change you would make to comply with this requirement. Please select:",(A) Apply Multi-AZ for the underlying 53 bucket,(B) Copy the data to an EBS Volume in another Region,(C) Create a snapshot of the S3 bucket and copy it to another region,(D) Enable Cross region replication for the S3 bucket,D,"This is mentioned clearly as a use case for S3 cross-region replication You might configure cross-region replication on a bucket for various reasons, including the following:* Compliance requirements - Although, by default Amazon S3 stores your data across multiplegeographically distant Availability Zones, compliance requirements might dictate that you store dataat even further distances.Cross-region replication allows you to replicate data between distant AWS Regions to satisfy thesecompliance requirements.Option A is invalid because Multi-AZ cannot be used to S3 bucketsOption B is invalid because copying it to an EBS volume is not a recommended practice Option C is46invalid because creating snapshots is not possible in S3 For more information on S3 cross-regionreplication, please visit the following URL:https://docs.aws.amazon.com/AmazonS3/latest/dev/crr.htmllThe correct answer is: Enable Cross region replication for the S3 bucket Submit yourFeedback/Queries to our Experts",
88,A Security Engineer must design a system that can detect whether a file on an Amazon EC2 host has been modified. The system must then alert the Security Engineer of the modification. What is the MOST efficient way to meet these requirements?,(A) Install antivirus software and ensure that signatures are up-to-date. Configure AmazonCloudWatch alarms to send alerts for security events.,(B) Install host-based IDS software to check for file integrity. Export the logs to Amazon CloudWatch Logs for monitoring and alerting.,(C) Export system log files to Amazon S3. Parse the log files using an AWS Lambda function that willsend alerts of any unauthorized system login attempts through Amazon SNS.,"(D) Use Amazon CloudWatch Logs to detect file system changes. If a change is detected, automaticallyterminate and recreate the instance from the most recent AMI. Use Amazon SNS to send notificationof the event.",B,,
91,"A Security Engineer launches two Amazon EC2 instances in the same Amazon VPC but in separate Availability Zones. Each instance has a public IP address and is able to connect to external hosts on the internet. The two instances are able to communicate with each other by using their private IP addresses, but they are not able to communicate with each other when using their public IP addresses. Which action should the Security Engineer take to allow communication over the public IP addresses?",(A) Associate the instances to the same security groups.,(B) Add 0.0.0.0/0 to the egress rules of the instance security groups.,(C) Add the instance IDs to the ingress rules of the instance security groups.,(D) Add the public IP addresses to the ingress rules of the instance security groups.,D,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/security-group-rules-reference.html#sg-rules-other-ins,
92,"Example.com hosts its internal document repository on Amazon EC2 instances. Theapplication runs on EC2 instances and previously stored the documents on encrypted Amazon EBSvolumes. To optimize the application for scale, example.com has moved the files to Amazon S3. Thesecurity team has mandated that all the files are securely deleted from the EBS volume, and it mustcertify that the data is unreadable before releasing the underlying disks.Which of the following methods will ensure that the data is unreadable by anyone else?","(A) Change the volume encryption on the EBS volume to use a different encryption mechanism. Then,release the EBS volumes back to AWS.",(B) Release the volumes back to AWS. AWS immediately wipes the disk after it is deprovisioned.,"(C) Delete the encryption key used to encrypt the EBS volume. Then, release the EBS volumes back toAWS.",(D) Delete the data by using the operating system delete commands. Run Quick Format on the driveand then release the EBS volumes back to AWS.,D,"Amazon EBS volumes are presented to you as raw unformatted block devices that have been wipedprior to being made available for use. Wiping occurs immediately before reuse so that you can beassured that the wipe process completed. If you have procedures requiring that all data be wiped viaa specific method, such as those detailed in NIST 800-88 (""Guidelines for Media Sanitization""), youhave the ability to do so on Amazon EBS.You should conduct a specialized wipe procedure prior to deleting the volume for compliance with48your established requirements.https://d0.awsstatic.com/whitepapers/aws-security-whitepaper.pdf",
93,"Due to new compliance requirements, a Security Engineer must enable encryption withcustomer-provided keys on corporate data that is stored in DynamoDB. The company wants to retainfull control of the encryption keys.Which DynamoDB feature should the Engineer use to achieve compliance'?",(A) Use AWS Certificate Manager to request a certificate. Use that certificate to encrypt data prior touploading it to DynamoDB.,"(B) Enable S3 server-side encryption with the customer-provided keys. Upload the data to Amazon S3,and then use S3Copy to move all data to DynamoDB",(C) Create a KMS master key. Generate per-record data keys and use them to encrypt data prior touploading it to DynamoDS. Dispose of the cleartext and encrypted data keys after encryption withoutstoring.,(D) Use the DynamoDB Java encryption client to encrypt data prior to uploading it to DynamoDB.,D,Follow the link:https://docs.aws.amazon.com/dynamodb-encryption-client/latest/devguide/what-is-ddb-encrypt.html,
96,A company uses identity federation to authenticate users into an identity account(987654321987) where the users assume an IAM role named IdentityRole. The users then assume anIAM role named JobFunctionRole in the target AWS account (123456789123) to perform their jobfunctions.A user is unable to assume the IAM role in the target account. The policy attached to the role in theidentity account is:What should be done to enable the user to assume the appropriate role in the target account?5051,(A) Option A,(B) Option B,(C) Option C,(D) Option D,A,,
99,A company hosts data in S3. There is now a mandate that going forward all data in the S3 bucket needs to encrypt at rest. How can this be achieved? Please select:,(A) Use AWS Access keys to encrypt the data,(B) Use SSL certificates to encrypt the data,(C) Enable server side encryption on the S3 bucket,(D) Enable MFA on the S3 bucket,C,"The AWS Documentation mentions the followingServer-side encryption is about data encryption at rest-that is, Amazon S3 encrypts your data at theobject level as it writes it to disks in its data centers and decrypts it for you when you access it. Aslong as you authenticate your request and you have access permissions, there is no difference in theway you access encrypted or unencrypted objects.Options A and B are invalid because neither Access Keys nor SSL certificates can be used to encryptdata.Option D is invalid because MFA is just used as an extra level of security for S3 buckets For moreinformation on S3 server side encryption, please refer to the below Link:https://docs.aws.amazon.com/AmazonS3/latest/dev/serv-side-encryption.html Submit yourFeedback/Queries to our Experts",
100,"A Systems Administrator has written the following Amazon S3 bucket policy designed to allow access to an S3 bucket for only an authorized AWS IAM user from the IP address range10.10.10.0/24. When trying to download an object from the S3 bucket from 10.10.10.40, the IAM user receives an access denied message. What does the Administrator need to change to grant access to the user?","(A) Change the ""Resource"" from ""arn: aws:s3:::Bucket"" to ""arn:aws:s3:::Bucket/*"".","(B) Change the ""Principal"" from ""*"" to {AWS:""arn:aws:iam: : account-number: user/username""}","(C) Change the ""Version"" from ""2012-10-17"" to the last revised date of the policy","(D) Change the ""Action"" from [""s3:*""] to [""s3:GetObject"", ""s3:ListBucket""]",A,,
