QuestionID,QuestionContent,A,B,C,D,E,F,G,H,I,J,K,L,M,Answer,Explain
90,"- (Exam Topic 1)
A company's architecture requires that its three Amazon EC2 instances run behind an Application Load Balancer (ALB). The EC2 instances transmit sensitive data
between each other Developers use SSL certificates to encrypt the traffic between the public users and the ALB However the Developers are unsure of how to
encrypt the data in transit between the ALB and the EC2 instances and the traffic between the EC2 instances
Which combination of activities must the company implement to meet its encryption requirements'? (Select TWO )
",A. Configure SSLTLS on the EC2 instances and configure the ALB target group to use HTTPS,B. Ensure that all resources are in the same VPC so the default encryption provided by the VPC is used to encrypt the traffic between the EC2 instances.,C. In the AL,D. select the default encryption to encrypt the traffic between the ALB and the EC2 instances,"E. In the code for the application, include a cryptography library and encrypt the data before sending it between the EC2 instances",F. Configure AWS Direct Connect to provide an encrypted tunnel between the EC2 instances,,,,,,,,BC,
91,"- (Exam Topic 1)
A Security Engineer for a large company is managing a data processing application used by 1,500 subsidiary companies. The parent and subsidiary companies all
use AWS. The application uses TCP port 443 and runs on Amazon EC2 behind a Network Load Balancer (NLB). For compliance reasons, the application should
only be accessible to the subsidiaries and should not be available on the public internet. To meet the compliance requirements for restricted access, the Engineer
has received the public and private CIDR block ranges for each subsidiary
What solution should the Engineer use to implement the appropriate access restrictions for the application?
",A. Create a NACL to allow access on TCP port 443 from the 1;500 subsidiary CIDR block ranges.Associate the NACL to both the NLB and EC2 instances,"B. Create an AWS security group to allow access on TCP port 443 from the 1,500 subsidiary CIDR block range",C. Associate the security group to the NL,D. Create a second security group for EC2 instances with access on TCP port 443 from the NLB security group.,E. Create an AWS PrivateLink endpoint service in the parent company account attached to the NL,F. Create an AWS security group for the instances to allow access on TCP port 443 from the AWS PrivateLink endpoin,"G. Use AWS PrivateLink interface endpoints in the 1,500 subsidiary AWS accounts to connect to the data processing application.","H. Create an AWS security group to allow access on TCP port 443 from the 1,500 subsidiary CIDR block range",I. Associate the security group with EC2 instances.,,,,,D,
93,"- (Exam Topic 1)
A Security Engineer manages AWS Organizations for a company. The Engineer would like to restrict AWS usage to allow Amazon S3 only in one of the
organizational units (OUs). The Engineer adds the following SCP to the OU:The next day. API calls to AWS IAM appear in AWS CloudTrail logs In an account under that OU. How should the Security Engineer resolve this issue?
",A. Move the account to a new OU and deny IAM:* permissions.,B. Add a Deny policy for all non-S3 services at the account level.,"C. Change the policy to:{“Version”: “2012-10-17”,“Statement”: [{“Sid”: “AllowS3”,""Effect"": ""Allow"",""Action"": ""s3:*"",""Resource"": ""*/*»}]}",D. Detach the default FullAWSAccess SCP,,,,,,,,,,C,
96,"- (Exam Topic 1)
A company is collecting AWS CloudTrail log data from multiple AWS accounts by managing individual trails in each account and forwarding log data to a
centralized Amazon S3 bucket residing in a log archive account. After CloudTrail introduced support for AWS Organizations trails, the company decided to further
centralize management and automate deployment of the CloudTrail logging capability across all of its AWS accounts.
The company's security engineer created an AWS Organizations trail in the master account, enabled
server-side encryption with AWS KMS managed keys (SSE-KMS) for the log files, and specified the same bucket as the storage location. However, the engineer
noticed that logs recorded by the new trail were not delivered to the bucket.
Which factors could cause this issue? (Select TWO.)
",A. The CMK key policy does not allow CloudTrail to make encrypt and decrypt API calls against the key.,B. The CMK key policy does not allow CloudTrail to make GenerateDataKey API calls against the key.,C. The IAM role used by the CloudTrail trail does not have permissions to make PutObject API calls against a folder created for the Organizations trail.,D. The S3 bucket policy does not allow CloudTrail to make PutObject API calls against a folder created for the Organizations trail.,E. The CMK key policy does not allow the IAM role used by the CloudTrail trail to use the key for crypto graphicaI operations.,,,,,,,,,AD,
100,"- (Exam Topic 1)
A company’s security engineer is configuring Amazon S3 permissions to ban all current and future public buckets However, the company hosts several websites
directly off S3 buckets with public access enabled
The engineer needs to bock me pubic S3 buckets without causing any outages on me easting websites The
engineer has set up an Amazon CloudFrom distribution (or each website Which set or steps should the security engineer implement next?
","A. Configure an S3 bucket as the origin an origin access identity (OAI) for the CloudFront distribution Switch the DNS records from websites to point to the
CloudFront distribution Enable Nock public access settings at the account level","B. Configure an S3 bucket as the origin with an origin access identity (OAI) for the CloudFront distribution Switch the ONS records tor the websites to point to the
CloudFront disinfection Then, tor each S3 bucket enable block public access settings",C. Configure an S3 bucket as the origin with an origin access identity (OAI) for the CloudFront distribution Enable block public access settings at the account level,"D. Configure an S3 bucket as the origin for me CloudFront distribution Configure the S3 bucket policy to accept connections from the CloudFront points of
presence only Switch the DNS records for the websites to point to the CloudFront distribution Enable block public access settings at me account level",,,,,,,,,,A,
103,"- (Exam Topic 1)
A company has recently recovered from a security incident that required the restoration of Amazon EC2 instances from snapshots.
After performing a gap analysis of its disaster recovery procedures and backup strategies, the company is concerned that, next time, it will not be able to recover
the EC2 instances if the AWS account was compromised and Amazon EBS snapshots were deleted.
All EBS snapshots are encrypted using an AWS KMS CMK. Which solution would solve this problem?
",A. Create a new Amazon S3 bucket Use EBS lifecycle policies to move EBS snapshots to the new S3 bucke,"B. Move snapshots to Amazon S3 Glacier using lifecycle policies, and apply Glacier Vault Lock policies to prevent deletion",C. Use AWS Systems Manager to distribute a configuration that performs local backups of all attached disks to Amazon S3.,D. Create a new AWS account with limited privilege,"E. Allow the new account to access the AWS KMS key used to encrypt the EBS snapshots, and copy the encrypted snapshots to the new account on a recuning
basis",F. Use AWS Backup to copy EBS snapshots to Amazon S3.,,,,,,,,A,
108,"- (Exam Topic 1)
A developer is creating an AWS Lambda function that requires environment variables to store connection information and logging settings. The developer is
required to use an AWS KMS Customer Master Key (CMK> supplied by the information security department in order to adhere to company standards for securing
Lambda environment variables.
Which of the following are required for this configuration to work? (Select TWO.)
",A. The developer must configure Lambda access to the VPC using the --vpc-config parameter.,B. The Lambda function execution role must have the kms:Decrypt- permission added in the AWS IAM policy.,C. The KMS key policy must allow permissions for the developer to use the KMS key.,D. The AWS IAM policy assigned to the developer must have the kmseGcnerate-DataKcy permission added.,E. The Lambda execution role must have the kms:Encrypt permission added in the AWS IAM policy.,,,,,,,,,BC,
111,"- (Exam Topic 1)
A security engineer need to ensure their company’s uses of AWS meets AWS security best practices. As part of this, the AWS account root user must not be used
for daily work. The root user must be monitored for use, and the Security team must be alerted as quickly as possible if the root user is used. Which solution meets
these requirements?
",A. Set up an Amazon CloudWatch Events rule that triggers an Amazon SNS notification.,B. Set up an Amazon CloudWatch Events rule that triggers an Amazon SNS notification logs from S3 and generate notifications using Amazon SNS.,C. Set up a rule in AWS config to trigger root user event,D. Trigger an AWS Lambda function and generate notifications using Amazon SNS.,E. Use Amazon Inspector to monitor the usage of the root user and generate notifications using Amazon SNS,,,,,,,,,A,
112,"- (Exam Topic 1)
A security engineer is designing a solution that will provide end-to-end encryption between clients and Docker containers running In Amazon Elastic Container
Service (Amazon ECS). This solution will also handle volatile traffic patterns
Which solution would have the MOST scalability and LOWEST latency?
",A. Configure a Network Load Balancer to terminate the TLS traffic and then re-encrypt the traffic to the containers,B. Configure an Application Load Balancer to terminate the TLS traffic and then re-encrypt the traffic to the containers,C. Configure a Network Load Balancer with a TCP listener to pass through TLS traffic to the containers,D. Configure Amazon Route 53 to use multivalue answer routing to send traffic to the containers,,,,,,,,,,A,
115,"- (Exam Topic 1)
An external Auditor finds that a company's user passwords have no minimum length. The company is currently using two identity providers:
• AWS IAM federated with on-premises Active Directory
• Amazon Cognito user pools to accessing an AWS Cloud application developed by the company Which combination o1 actions should the Security Engineer take
to solve this issue? (Select TWO.)
",A. Update the password length policy In the on-premises Active Directory configuration.,B. Update the password length policy In the IAM configuration.,C. Enforce an IAM policy In Amazon Cognito and AWS IAM with a minimum password length condition.,D. Update the password length policy in the Amazon Cognito configuration.,E. Create an SCP with AWS Organizations that enforces a minimum password length for AWS IAM and Amazon Cognito.,,,,,,,,,AD,
116,"- (Exam Topic 1)
A company's application runs on Amazon EC2 and stores data in an Amazon S3 bucket The company wants additional security controls in place to limit the
likelihood of accidental exposure of data to external parties
Which combination of actions will meet this requirement? (Select THREE.)
",A. Encrypt the data in Amazon S3 using server-side encryption with Amazon S3 managed encryption keys (SSE-S3),B. Encrypt the data in Amazon S3 using server-side encryption with AWS KMS managed encryption keys (SSE-KMS),C. Create a new Amazon S3 VPC endpoint and modify the VPC's routing tables to use the new endpoint,D. Use the Amazon S3 Block Public Access feature.,E. Configure the bucket policy to allow access from the application instances only,F. Use a NACL to filter traffic to Amazon S3,,,,,,,,BCE,
118,"- (Exam Topic 1)
A company has a serverless application for internal users deployed on AWS. The application uses AWS Lambda for the front end and for business logic. The
Lambda function accesses an Amazon RDS database inside a VPC The company uses AWS Systems Manager Parameter Store for storing database credentials.
A recent security review highlighted the following issues
The Lambda function has internet access.
The relational database is publicly accessible.
The database credentials are not stored in an encrypted state.
Which combination of steps should the company take to resolve these security issues? (Select THREE)
",A. Disable public access to the RDS database inside the VPC,B. Move all the Lambda functions inside the VP,"C.
C. Edit the IAM role used by Lambda to restrict internet access.",D. Create a VPC endpoint for Systems Manage,E. Store the credentials as a string paramete,F. Change the parameter type to an advanced parameter.,G. Edit the IAM role used by RDS to restrict internet access.,H. Create a VPC endpoint for Systems Manage,I. Store the credentials as a SecureString parameter.,,,,,ABE,
122,"- (Exam Topic 1)
A company Is building a data lake on Amazon S3. The data consists of millions of small files containing sensitive information. The security team has the following
requirements for the architecture:
• Data must be encrypted in transit.
• Data must be encrypted at rest.
• The bucket must be private, but if the bucket is accidentally made public, the data must remain confidential. Which combination of steps would meet the
requirements? (Select THREE.)
",A. Enable AES-256 encryption using server-side encryption with Amazon S3-managed encryption keys (SSE-S3) on the S3 bucket,B. Enable default encryption with server-side encryption with AWS KMS-managed keys (SSE-KMS) on the S3 bucket.,C. Add a bucket policy that includes a deny if a PutObject request does not include awsiSecureTcanspoct.,D. Add a bucket policy with ws: Sourcelpto Allow uploads and downloads from the corporate intranet only.,"E. Add a bucket policy that includes a deny if a PutObject request does not include s3:x-amz-sairv9r-side-enctyption: ""aws: kms"".",F. Enable Amazon Macie to monitor and act on changes to the data lake's S3 bucket.,,,,,,,,BDF,
123,"- (Exam Topic 1)
A company has implemented centralized logging and monitoring of AWS CloudTrail logs from all Regions in
an Amazon S3 bucket. The log Hies are encrypted using AWS KMS. A Security Engineer is attempting to review the log files using a third-party tool hosted on an
Amazon EC2 instance The Security Engineer is unable to access the logs in the S3 bucket and receives an access denied error message
What should the Security Engineer do to fix this issue?
",A. Check that the role the Security Engineer uses grants permission to decrypt objects using the KMS CMK.,B. Check that the role the Security Engineer uses grants permission to decrypt objects using the KMS CMK and gives access to the S3 bucket and objects,C. Check that the role the EC2 instance profile uses grants permission lo decrypt objects using the KMS CMK and gives access to the S3 bucket and objects,D. Check that the role the EC2 instance profile uses grants permission to decrypt objects using the KMS CMK,,,,,,,,,,C,
127,"- (Exam Topic 1)
A company is designing the securely architecture (or a global latency-sensitive web application it plans to deploy to AWS. A Security Engineer needs to configure a
highly available and secure two-tier architecture. The security design must include controls to prevent common attacks such as DDoS, cross-site scripting, and
SQL injection.
Which solution meets these requirements?
",A. Create an Application Load Balancer (ALB) that uses public subnets across multiple Availability Zones within a single Regio,B. Point the ALB to an Auto Scaling group with Amazon EC2 instances in private subnets across multiple Availability Zones within the same Regio,C. Create an AmazonCloudFront distribution that uses the ALB as its origi,D. Create appropriate AWS WAF ACLs and enable them on the CloudFront distribution.,E. Create an Application Load Balancer (ALB) that uses private subnets across multiple Availability Zones within a single Regio,F. Point the ALB to an Auto Scaling group with Amazon EC2 instances in private subnets across multiple Availability Zones within the same Regio,G. Create an Amazon CloudFront distribution that uses the ALB as its origi,H. Create appropriate AWS WAF ACLs and enable them on the CloudFront distribution.,I. Create an Application Load Balancer (ALB) that uses public subnets across multiple Availability Zones within a single Regio,J. Point the ALB to an Auto Scaling group with Amazon EC2 instances in private subnets across multiple Availability Zones within the same Regio,K. Create appropriate AWS WAF ACLs and enable them on the ALB.,L. Create an Application Load Balancer (ALB) that uses private subnets across multiple Availability Zones within a single Regio,"M. Point the ALB to an Auto Scaling group with Amazon EC2 instances in private subnets across multiple Availability Zones within the same Regio
N. Create appropriate AWS WAF ACLs and enable them on the ALB.",A,
130,"- (Exam Topic 1)
A security engineer has been tasked with implementing a solution that allows the company's development team to have interactive command line access to
Amazon EC2 Linux instances using the AWS Management Console.
Which steps should the security engineer take to satisfy this requirement while maintaining least privilege?
",A. Enable AWS Systems Manager in the AWS Management Console and configure for access to EC2 instances using the default AmazonEC2RoleforSSM rol,B. Install the Systems Manager Agent on all EC2 Linux instances that need interactive acces,C. Configure IAM user policies to allow development team access to the Systems Manager Session Manager and attach to the team's IAM users.,D. Enable console SSH access in the EC2 consol,"E. Configure IAM user policies to allow development team access to the AWS Systems Manager Session Manager and attach to the development team's IAM
users.",F. Enable AWS Systems Manager in the AWS Management Console and configure to access EC2 instances using the default AmazonEC2RoleforSSM rol,G. Install the Systems Manager Agent on all EC2 Linux instances that need interactive acces,H. Configure a security group that allows SSH port 22 from all published IP addresse,I. Configure IAM user policies to allow development team access to the AWS Systems Manager Session Manager and attach to the team's IAM users.,"J. Enable AWS Systems Manager in the AWS Management Console and configure to access EC2 instances using the default AmazonEC2RoleforSSM role Install
the Systems Manager Agent on all EC2 Linux instances that need interactive acces",K. Configure IAM policies to allow development team access to the EC2 console and attach to the teams IAM users.,,,A,
132,"- (Exam Topic 1)
A Developer reported that AWS CloudTrail was disabled on their account. A Security Engineer investigated the account and discovered the event was undetected
by the current security solution. The Security Engineer must recommend a solution that will detect future changes to the CloudTrail configuration and send alerts
when changes occur.
What should the Security Engineer do to meet these requirements?
",A. Use AWS Resource Access Manager (AWS RAM) to monitor the AWS CloudTrail configuratio,B. Send notifications using Amazon SNS.,C. Create an Amazon CloudWatch Events rule to monitor Amazon GuardDuty finding,D. Send email notifications using Amazon SNS.,E. Update security contact details in AWS account settings for AWS Support to send alerts when suspicious activity is detected.,F. Use Amazon Inspector to automatically detect security issue,G. Send alerts using Amazon SNS.,,,,,,,B,
135,"- (Exam Topic 1)
A company hosts its public website on Amazon EC2 instances behind an Application Load Balancer (ALB). The instances are in an EC2 Auto Scaling group
across multiple Availability Zones. The website is under a DDoS attack by a specific loT device brand that is visible in the user agent A security engineer needs to
mitigate the attack without impacting the availability of the public website.
What should the security engineer do to accomplish this?
",A. Configure a web ACL rule for AWS WAF to block requests with a string match condition for the user agent of the loT devic,B. Associate the v/eb ACL with the ALB.,C. Configure an Amazon CloudFront distribution to use the ALB as an origi,D. Configure a web ACL rule for AWS WAF to block requests with a string match condition for the user agent of the loT devic,E. Associate the web ACL with the ALB Change the public DNS entry of the website to point to the CloudFront distribution.,F. Configure an Amazon CloudFront distribution to use a new ALB as an origi,G. Configure a web ACL rule for AWS WAF to block requests with a string match condition for the user agent of the loT devic,"H. Change the ALB security group to alow access from CloudFront IP address ranges only Change the public DNS entry of the website to point to the CloudFront
distribution.",I. Activate AWS Shield Advanced to enable DDoS protectio,J. Apply an AWS WAF ACL to the AL,K. and configure a listener rule on the ALB to block loT devices based on the user agent.,,,D,
138,"- (Exam Topic 1)
A city is implementing an election results reporting website that will use Amazon GoudFront The website runs on a fleet of Amazon EC2 instances behind an
Application Load Balancer (ALB) in an Auto Scaling group. Election results are updated hourly and are stored as .pdf tiles in an Amazon S3 bucket. A Security
Engineer needs to ensure that all external access to the website goes through CloudFront.
Which solution meets these requirements?
",A. Create an IAM role that allows CloudFront to access the specific S3 bucke,B. Modify the S3 bucket policy to allow only the new IAM role to access its content,C. Create an interface VPC endpoint for CloudFront to securely communicate with the ALB.,D. Create an IAM role that allows CloudFront to access the specific S3 bucke,E. Modify the S3 bucket policy to allow only the new IAM role to access its content,F. Associate the ALB with a security group that allows only incoming traffic from the CloudFront service to communicate with the ALB.,G. Create an origin access identity (OAI) in CloudFron,H. Modify the S3 bucket policy to allow only the new OAI to access the bucket content,I. Create an interface VPC endpoint for CloudFront to securely communicate with the ALB.,J. Create an origin access identity (OAI) in CloudFron,K. Modify the S3 bucket policy to allow only the new OAI to access the bucket content,L. Associate the ALB with a security group that allows onlyincoming traffic from the CloudFront service to communicate with the ALB.,,C,
141,"- (Exam Topic 1)
A company's Developers plan to migrate their on-premises applications to Amazon EC2 instances running Amazon Linux AMIs. The applications are accessed by
a group of partner companies The Security Engineer needs to implement the following host-based security measures for these instances:
• Block traffic from documented known bad IP addresses
• Detect known software vulnerabilities and CIS Benchmarks compliance. Which solution addresses these requirements?
",A. Launch the EC2 instances with an IAM role attache,"B. Include a user data script that uses the AWS CLI to retrieve the list of bad IP addresses from AWS Secrets Manager and uploads it as a threat list in Amazon
GuardDuty Use Amazon Inspector to scan the instances for known software vulnerabilities and CIS Benchmarks compliance","C. Launch the EC2 instances with an IAM role attached Include a user data script that uses the AWS CLl to create NACLs blocking ingress traffic from the known
bad IP addresses in the EC2 instance's subnets Use AWS Systems Manager to scan the instances for known software vulnerabilities, and AWS Trusted Advisor to
check instances for CIS Benchmarks compliance","D. Launch the EC2 instances with an IAM role attached Include a user data script that uses the AWS CLl to create and attach security groups that only allow an
allow listed source IP address range inboun","E. Use Amazon Inspector to scan the instances for known software vulnerabilities, and AWS Trusted Advisor to check instances for CIS Benchmarks compliance","F. Launch the EC2 instances with an IAM role attached Include a user data script that creates a cron job to periodically retrieve the list of bad IP addresses from
Amazon S3, and configures iptabies on the instances blocking the list of bad IP addresses Use Amazon inspector to scan the instances for known software
vulnerabilities and CIS Benchmarks compliance.",,,,,,,,D,
145,"- (Exam Topic 1)
A Web Administrator for the website example.com has created an Amazon CloudFront distribution for dev.example.com, with a requirement to configure HTTPS
using a custom TLS certificate imported to AWS Certificate Manager.
Which combination of steps is required to ensure availability of the certificate in the CloudFront console? (Choose two.)
",A. Call UploadServerCertificate with /cloudfront/dev/ in the path parameter.,"B. Import the certificate with a 4,096-bit RSA public key.","C. Ensure that the certificate, private key, and certificate chain are PKCS #12-encoded.",D. Import the certificate in the us-east-1 (,E. Virginia) Region.,"F. Ensure that the certificate, private key, and certificate chain are PEM-encoded.",,,,,,,,DE,
149,"- (Exam Topic 1)
A Security Engineer creates an Amazon S3 bucket policy that denies access to all users. A few days later, the Security Engineer adds an additional statement to
the bucket policy to allow read-only access to one other employee Even after updating the policy the employee still receives an access denied message.
What is the likely cause of this access denial?
",A. The ACL in the bucket needs to be updated.,B. The IAM policy does not allow the user to access the bucket,C. It takes a few minutes for a bucket policy to take effect,D. The allow permission is being overridden by the deny.,,,,,,,,,,D,
150,"- (Exam Topic 1)
A security engineer must use AWS Key Management Service (AWS KMS) to design a key management solution for a set of Amazon Elastic Block Store (Amazon
EBS) volumes that contain sensitive data. The solution needs to ensure that the key material automatically expires in 90 days.
Which solution meets these criteria?
",A. A customer managed CMK that uses customer provided key material,B. A customer managed CMK that uses AWS provided key material,C. An AWS managed CMK,D. Operating system-native encryption that uses GnuPG,,,,,,,,,,B,
151,"- (Exam Topic 1)
Two Amazon EC2 instances in different subnets should be able to connect to each other but cannot. It has been confirmed that other hosts in the same subnets
are able to communicate successfully, and that security groups have valid ALLOW rules in place to permit this traffic.
Which of the following troubleshooting steps should be performed?
","A. Check inbound and outbound security groups, looking for DENY rules.","B. Check inbound and outbound Network ACL rules, looking for DENY rules.",C. Review the rejected packet reason codes in the VPC Flow Logs.,D. Use AWS X-Ray to trace the end-to-end application flow,,,,,,,,,,C,
152,"- (Exam Topic 1)
A company hosts a web-based application that captures and stores sensitive data in an Amazon DynamoDB table. A security audit reveals that the application
does not provide end-to-end data protection or the ability to detect unauthorized data changes The software engineering team needs to make changes that will
address the audit findings.
Which set of steps should the software engineering team take?
",A. Use an AWS Key Management Service (AWS KMS) CM,B. Encrypt the data at rest.,C. Use AWS Certificate Manager (ACM) Private Certificate Authority Encrypt the data in transit.,D. Use a DynamoDB encryption clien,E. Use client-side encryption and sign the table items,F. Use the AWS Encryption SD,G. Use client-side encryption and sign the table items.,,,,,,,A,
154,"- (Exam Topic 1)
A company's security information events management (SIEM) tool receives new AWS CloudTrail logs from an Amazon S3 bucket that is configured to send all
object created event notification to an Amazon SNS topic An Amazon SQS queue is subscribed to this SNS topic. The company's SEM tool then ports this SQS
queue for new messages using an IAM role and fetches new log events from the S3 bucket based on the SQS messages.
After a recent security review that resulted m restricted permissions, the SEM tool has stopped receiving new CloudTral logs
Which of the following are possible causes of this issue? (Select THREE)
",A. The SOS queue does not allow the SQS SendMessage action from the SNS topic,B. The SNS topic does not allow the SNS Publish action from Amazon S3,C. The SNS topic is not delivering raw messages to the SQS queue,D. The S3 bucket policy does not allow CloudTrail to perform the PutObject action,E. The IAM role used by the 5EM tool does not have permission to subscribe to the SNS topic,F. The IAM role used by the SEM tool does not allow the SQS DeleteMessage actio,,,,,,,,ADF,
159,"- (Exam Topic 2)
A Security Engineer who was reviewing AWS Key Management Service (AWS KMS) key policies found this statement in each key policy in the company AWS
account.What does the statement allow?
",A. All principals from all AWS accounts to use the key.,B. Only the root user from account 111122223333 to use the key.,C. All principals from account 111122223333 to use the key but only on Amazon S3.,D. Only principals from account 111122223333 that have an IAM policy applied that grants access to this key to use the key.,,,,,,,,,,D,
161,"- (Exam Topic 2)
A Software Engineer wrote a customized reporting service that will run on a fleet of Amazon EC2 instances. The company security policy states that application
logs for the reporting service must be centrally collected.
What is the MOST efficient way to meet these requirements?
",A. Write an AWS Lambda function that logs into the EC2 instance to pull the application logs from the EC2 instance and persists them into an Amazon S3 bucket.,"B. Enable AWS CloudTrail logging for the AWS account, create a new Amazon S3 bucket, and then configure Amazon CloudWatch Logs to receive the application
logs from CloudTrail.",C. Create a simple cron job on the EC2 instances that synchronizes the application logs to an Amazon S3 bucket by using rsync.,"D. Install the Amazon CloudWatch Logs Agent on the EC2 instances, and configure it to send the application logs to CloudWatch Logs.",,,,,,,,,,D,https://aws.amazon.com/blogs/aws/cloudwatch-log-service/
166,"- (Exam Topic 2)
Your development team has started using AWS resources for development purposes. The AWS account has just been created. Your IT Security team is worried
about possible leakage of AWS keys. What is the first level of measure that should be taken to protect the AWS account.
Please select:
",A. Delete the AWS keys for the root account,B. Create IAM Groups,C. Create IAM Roles,D. Restrict access using IAM policies,,,,,,,,,,A,"The first level or measure that should be taken is to delete the keys for the IAM root user
When you log into your account and go to your Security Access dashboard, this is the first step that can be seen
C:\Users\wk\Desktop\mudassar\Untitled.jpgOption B and C are wrong because creation of IAM groups and roles will not change the impact of leakage of AWS root access keys
Option D is wrong because the first key aspect is to protect the access keys for the root account For more information on best practises for Security Access keys,
please visit the below URL:
https://docs.aws.amazon.com/eeneral/latest/gr/aws-access-keys-best-practices.html
The correct answer is: Delete the AWS keys for the root account Submit your Feedback/Queries to our Experts"
168,"- (Exam Topic 2)
You have a web site that is sitting behind AWS Cloudfront. You need to protect the web site against threats such as SQL injection and Cross site scripting attacks.
Which of the following service can help in such a scenario
Please select:
",A. AWS Trusted Advisor,B. AWS WAF,C. AWS Inspector,D. AWS Config,,,,,,,,,,B,"The AWS Documentation mentions the following
AWS WAF is a web application firewall that helps detect and block malicious web requests targeted at your web applications. AWS WAF allows you to create rules
that can help protect against common web exploits like SQL injection and cross-site scripting. With AWS WAF you first identify the resource (either an Amazon
CloudFront distribution or an Application Load Balancer) that you need to protect.
Option A is invalid because this will only give advise on how you can better the security in your AWS account but not protect against threats mentioned in the
question.
Option C is invalid because this can be used to scan EC2 Instances for vulnerabilities but not protect against threats mentioned in the question.
Option D is invalid because this can be used to check config changes but not protect against threats mentioned in the quest
For more information on AWS WAF, please visit the following URL: https://aws.amazon.com/waf/details;
The correct answer is: AWS WAF
Submit your Feedback/Queries to our Experts"
172,"- (Exam Topic 2)
You are deivising a policy to allow users to have the ability to access objects in a bucket called appbucket. You define the below custom bucket policy
But when you try to apply the policy you get the error ""Action does not apply to any resource(s) in statement."" What should be done to rectify the error
Please select:
",A. Change the IAM permissions by applying PutBucketPolicy permissions.,B. Verify that the policy has the same name as the bucket nam,C. If no,D. make it the same.,"E. Change the Resource section to ""arn:aws:s3:::appbucket/*'.","F. Create the bucket ""appbucket"" and then apply the policy.",,,,,,,,C,"When you define access to objects in a bucket you need to ensure that you specify to which objects in the bucket access needs to be given to. In this case, the *
can be used to assign the permission to all objects in the bucket
Option A is invalid because the right permissions are already provided as per the question requirement Option B is invalid because it is not necessary that the
policy has the same name as the bucket
Option D is invalid because this should be the default flow for applying the policy For more information on bucket policies please visit the below URL:
https://docs.aws.amazon.com/AmazonS3/latest/dev/example-bucket-policies.htmll
The correct answer is: Change the Resource section to ""arn:aws:s3:::appbucket/"" Submit your Feedback/Queries to our Experts"
174,"- (Exam Topic 2)
Your company has defined a number of EC2 Instances over a period of 6 months. They want to know if any of the security groups allow unrestricted access to a
resource. What is the best option to accomplish this requirement?
Please select:
",A. Use AWS Inspector to inspect all the security Groups,B. Use the AWS Trusted Advisor to see which security groups have compromised access.,C. Use AWS Config to see which security groups have compromised access.,D. Use the AWS CLI to query the security groups and then filter for the rules which have unrestricted accessd,,,,,,,,,,B,"The AWS Trusted Advisor can check security groups for rules that allow unrestricted access to a resource. Unrestricted access increases opportunities for
malicious activity (hacking, denial-of-service attacks, loss of data).
If you go to AWS Trusted Advisor, you can see the details C:\Users\wk\Desktop\mudassar\Untitled.jpg
Option A is invalid because AWS Inspector is used to detect security vulnerabilities in instances and not for security groups.
Option C is invalid because this can be used to detect changes in security groups but not show you security groups that have compromised access.
Option Dis partially valid but would just be a maintenance overhead
For more information on the AWS Trusted Advisor, please visit the below URL: https://aws.amazon.com/premiumsupport/trustedadvisor/best-practices;
The correct answer is: Use the AWS Trusted Advisor to see which security groups have compromised access. Submit your Feedback/Queries to our Experts"
179,"- (Exam Topic 2)
A company’s security policy requires that VPC Flow Logs are enabled on all VPCs. A Security Engineer is looking to automate the process of auditing the VPC
resources for compliance.
What combination of actions should the Engineer take? (Choose two.)
",A. Create an AWS Lambda function that determines whether Flow Logs are enabled for a given VPC.,B. Create an AWS Config configuration item for each VPC in the company AWS account.,C. Create an AWS Config managed rule with a resource type of AWS:: Lambda:: Function.,D. Create an Amazon CloudWatch Event rule that triggers on events emitted by AWS Config.,"E. Create an AWS Config custom rule, and associate it with an AWS Lambda function that contains the evaluating logic.",,,,,,,,,AE,https://medium.com/mudita-misra/how-to-audit-your-aws-resources-for-security-compliance-by-using-custom-a
181,"- (Exam Topic 2)
A company will store sensitive documents in three Amazon S3 buckets based on a data classification scheme of “Sensitive,” “Confidential,” and “Restricted.”
The security solution must meet all of the following requirements:
Each object must be encrypted using a unique key.
Items that are stored in the “Restricted” bucket require two-factor authentication for decryption.
AWS KMS must automatically rotate encryption keys annually.
Which of the following meets these requirements?
","A. Create a Customer Master Key (CMK) for each data classification type, and enable the rotation of it annuall","B. For the “Restricted” CMK, define the MFA policy within the key polic",C. Use S3 SSE-KMS to encrypt the objects.,D. Create a CMK grant for each data classification type with EnableKeyRotation and MultiFactorAuthPresent set to tru,E. S3 can then use the grants to encrypt each object with a unique CMK.,"F. Create a CMK for each data classification type, and within the CMK policy, enable rotation of it annually, and define the MFA polic",G. S3 can then create DEK grants to uniquely encrypt each object within the S3 bucket.,"H. Create a CMK with unique imported key material for each data classification type, and rotate them annuall","I. For the “Restricted” key material, define the MFA policy in the key polic",J. Use S3 SSE-KMS to encrypt the objects.,,,,A,"CMKs that are not eligible for automatic key rotation, including asymmetric CMKs, CMKs in custom key stores, and CMKs with imported key material."
186,"- (Exam Topic 2)
A Security Engineer must enforce the use of only Amazon EC2, Amazon S3, Amazon RDS, Amazon DynamoDB, and AWS STS in specific accounts.
What is a scalable and efficient approach to meet this requirement?
",A. Option A,B. Option B,C. Option C,D. Option D,,,,,,,,,,A,It says specific accounts which mean specific governed OUs under your organization and you apply specific service control policy to these OUs.
