QuestionID,QuestionContent,A,B,C,D,E,F,G,H,I,J,K,L,M,Answer,Explain
77,"A security team must present a daily briefing to the CISO that includes a report of which of the company's thousands of EC2 instances and on-premises servers
are missing the latest security patches. All instances/servers must be brought into compliance within 24 hours so they do not show up on the next day's report.
How can the security team fulfill these requirements?
Please select:
","A. Use Amazon QuickSight and Cloud Trail to generate the report of out of compliance instances/servers.Redeploy all out of compliance instances/servers using
an AMI with the latest patches.",B. Use Systems Manger Patch Manger to generate the report of out of compliance instances/ server,C. UseSystems Manager Patch Manger to install the missing patches.,"D. Use Systems Manger Patch Manger to generate the report of out of compliance instances/ servers.Redeploy all out of1 compliance instances/servers using an
AMI with the latest patches.",E. Use Trusted Advisor to generate the report of out of compliance instances/server,F. Use Systems Manger Patch Manger to install the missing patches.,,,,,,,,B,"Use the Systems Manger Patch Manger to generate the report and also install the missing patches The AWS Documentation mentions the following
AWS Systems Manager Patch Manager automates the process of patching managed instances with
security-related updates. For Linux-based instances, you can also install patches for non-security updates. You can patch fleets of Amazon EC2 instances or your
on-premises servers and virtual machines (VMs) by operating system type. This includes supported versions of Windows, Ubuntu Server, Red Hat Enterprise
Linux (RHEL), SUSE Linux Enterprise Server (SLES), and Amazon Linux. You can scan instances to see only a report of missing patches, or you can scan and
automatically install all missing patches.
Option A is invalid because Amazon QuickSight and Cloud Trail cannot be used to generate the list of servers that don't meet compliance needs.
Option C is wrong because deploying instances via new AMI'S would impact the applications hosted on these servers
Option D is invalid because Amazon Trusted Advisor cannot be used to generate the list of servers that don't meet compliance needs.
For more information on the AWS Patch Manager, please visit the below URL: https://docs.aws.amazon.com/systems-manager/latest/userguide/systems-managerpatch.html (
The correct answer is: Use Systems Manger Patch Manger to generate the report of out of compliance instances/ servers. Use Systems Manager Patch Manger to
install the missing patches.
Submit your Feedback/Queries to our Experts"
78,"A company plans to migrate a sensitive dataset to Amazon S3. A Security Engineer must ensure that the data is encrypted at rest. The encryption solution must
enable the company to generate its own keys without needing to manage key storage or the encryption process.
What should the Security Engineer use to accomplish this?
",A. Server-side encryption with Amazon S3-managed keys (SSE-S3),B. Server-side encryption with AWS KMS-managed keys (SSE-KMS),C. Server-side encryption with customer-provided keys (SSE-C),D. Client-side encryption with an AWS KMS-managed CMK,,,,,,,,,,B,Reference https://aws.amazon.com/s3/faqs/
83,"What are the MOST secure ways to protect the AWS account root user of a recently opened AWS account? (Choose two.)
",A. Use the AWS account root user access keys instead of the AWS Management Console,B. Enable multi-factor authentication for the AWS IAM users with the AdministratorAccess managed policy attached to them,C. Enable multi-factor authentication for the AWS account root user,D. Use AWS KMS to encrypt all AWS account root user and AWS IAM access keys and set automatic rotation to 30 days,"E. Do not create access keys for the AWS account root user; instead, create AWS IAM users",,,,,,,,,BD,
88,"An organization is using Amazon CloudWatch Logs with agents deployed on its Linux Amazon EC2 instances. The agent configuration files have been checked
and the application log files to be pushed are configured correctly. A review has identified that logging from specific instances is missing.
Which steps should be taken to troubleshoot the issue? (Choose two.)
",A. Use an EC2 run command to confirm that the “awslogs” service is running on all instances.,B. Verify that the permissions used by the agent allow creation of log groups/streams and to put log events.,C. Check whether any application log entries were rejected because of invalid time stamps by reviewing/var/cwlogs/rejects.log.,D. Check that the trust relationship grants the service “cwlogs.amazonaws.com” permission to write objects to the Amazon S3 staging bucket.,E. Verify that the time zone on the application servers is in UTC.,,,,,,,,,AB,
90,"Your CTO is very worried about the security of your AWS account. How best can you prevent hackers from completely hijacking your account?
Please select:
",A. Use short but complex password on the root account and any administrators.,B. Use AWS 1AM Geo-Lock and disallow anyone from logging in except for in your city.,"C. Use MFA on all users and accounts, especially on the root account.",D. Don't write down or remember the root account password after creating the AWS account.,,,,,,,,,,C,"Multi-factor authentication can add one more layer of security to your AWS account Even when you go to your Security Credentials dashboard one of the items is
to enable MFA on your root account
C:\Users\wk\Desktop\mudassar\Untitled.jpg
Option A is invalid because you need to have a good password policy Option B is invalid because there is no 1AM Geo-Lock Option D is invalid because this is not
a recommended practices For more information on MFA, please visit the below URL
http://docs.aws.amazon.com/IAM/latest/UserGuide/id
credentials mfa.htmll
The correct answer is: Use MFA on all users and accounts, especially on the root account. Submit your Feedback/Queries to our Experts"
93,"You have a set of Customer keys created using the AWS KMS service. These keys have been used for around 6 months. You are now trying to use the new KMS
features for the existing set of key's but are not able to do so. What could be the reason for this.
Please select:
",A. You have not explicitly given access via the key policy,B. You have not explicitly given access via the 1AM policy,C. You have not given access via the 1AM roles,D. You have not explicitly given access via 1AM users,,,,,,,,,,A,"By default, keys created in KMS are created with the default key policy. When features are added to KMS, you need to explii update the default key policy for these
keys.
Option B,C and D are invalid because the key policy is the main entity used to provide access to the keys
For more information on upgrading key policies please visit the following URL: https://docs.aws.ama20n.com/kms/latest/developerguide/key-policy-upgrading.html
(
The correct answer is: You have not explicitly given access via the key policy Submit your Feedback/Queries to our Experts"
96,"Every application in a company's portfolio has a separate AWS account for development and production. The security team wants to prevent the root user and all
1AM users in the production accounts from accessing a specific set of unneeded services. How can they control this functionality?
Please select:
",A. Create a Service Control Policy that denies access to the service,B. Assemble all production accounts in an organizational uni,C. Apply the policy to that organizational unit.,D. Create a Service Control Policy that denies access to the service,E. Apply the policy to the root account.,F. Create an 1AM policy that denies access to the service,G. Associate the policy with an 1AM group and enlist all users and the root users in this group.,H. Create an 1AM policy that denies access to the service,I. Create a Config Rule that checks that all usershave the policy m assigne,J. Trigger a Lambda function that adds the policy when found missing.,,,,A,"As an administrator of the master account of an organization, you can restrict which AWS services and individual API actions the users and roles in each member
account can access. This restriction even overrides the administrators of member accounts in the organization. When AWS Organizations blocks access to a
service or API action for a member account a user or role in that account can't access any prohibited service or API action, even if an administrator of a member
account explicitly grants such permissions in an 1AM policy. Organization permissions overrule account permissions.
Option B is invalid because service policies cannot be assigned to the root account at the account level. Option C and D are invalid because 1AM policies alone at
the account level would not be able to suffice the
requirement
For more information, please visit the below URL id=docs_orgs_console https://docs.aws.amazon.com/IAM/latest/UserGi manage attach-policy.html
The correct answer is: Create a Service Control Policy that denies access to the services. Assemble all production accounts in an organizational unit. Apply the
policy to that organizational unit
Submit your Feedback/Queries to our Experts"
100,"A company wants to have an Intrusion detection system available for their VPC in AWS. They want to have complete control over the system. Which of the
following would be ideal to implement?
Please select:
",A. Use AWS WAF to catch all intrusions occurring on the systems in the VPC,B. Use a custom solution available in the AWS Marketplace,C. Use VPC Flow logs to detect the issues and flag them accordingly.,D. Use AWS Cloudwatch to monitor all traffic,,,,,,,,,,B,"Sometimes companies want to have custom solutions in place for monitoring Intrusions to their systems. In such a case, you can use the AWS Marketplace for
looking at custom solutions.
C:\Users\wk\Desktop\mudassar\Untitled.jpg
Option A.C and D are all invalid because they cannot be used to conduct intrusion detection or prevention. For more information on using custom security solutions
please visit the below URL https://d1.awsstatic.com/Marketplace/security/AWSMP_Security_Solution%200verview.pdf
For more information on using custom security solutions please visit the below URL: https://d1 .awsstatic.com/Marketplace/security/AWSMP Security
Solution%20Overview.pd1
The correct answer is: Use a custom solution available in the AWS Marketplace Submit your Feedback/Queries to our Experts"
101,"Which of the following is the most efficient way to automate the encryption of AWS CloudTrail logs using a Customer Master Key (CMK) in AWS KMS?
",A. Use the KMS direct encrypt function on the log data every time a CloudTrail log is generated.,B. Use the default Amazon S3 server-side encryption with S3-managed keys to encrypt and decrypt theCloudTrail logs.,C. Configure CloudTrail to use server-side encryption using KMS-managed keys to encrypt and decrypt CloudTrail logs.,D. Use encrypted API endpoints so that all AWS API calls generate encrypted CloudTrail log entries using the TLS certificate from the encrypted API call.,,,,,,,,,,C,
105,"Your company looks at the gaming domain and hosts several Ec2 Instances as game servers. The servers each experience user loads in the thousands. There is
a concern of DDos attacks on the EC2 Instances which could cause a huge revenue loss to the company. Which of the following can help mitigate this security
concern and also ensure minimum downtime for the servers.
Please select:
",A. Use VPC Flow logs to monitor the VPC and then implement NACL's to mitigate attacks,B. Use AWS Shield Advanced to protect the EC2 Instances,C. Use AWS Inspector to protect the EC2 Instances,D. Use AWS Trusted Advisor to protect the EC2 Instances,,,,,,,,,,B,Below is an excerpt from the AWS Documentation on some of the use cases for AWS Shield C:\Users\wk\Desktop\mudassar\Untitled.jpg
110,"You have a web site that is sitting behind AWS Cloudfront. You need to protect the web site against threats such as SQL injection and Cross site scripting attacks.
Which of the following service can help in such a scenario
Please select:
",A. AWS Trusted Advisor,B. AWS WAF,C. AWS Inspector,D. AWS Config,,,,,,,,,,B,"The AWS Documentation mentions the following
AWS WAF is a web application firewall that helps detect and block malicious web requests targeted at your web applications. AWS WAF allows you to create rules
that can help protect against common web exploits like SQL injection and cross-site scripting. With AWS WAF you first identify the resource (either an Amazon
CloudFront distribution or an Application Load Balancer) that you need to protect.
Option A is invalid because this will only give advise on how you can better the security in your AWS account but not protect against threats mentioned in the
question.
Option C is invalid because this can be used to scan EC2 Instances for vulnerabilities but not protect against threats mentioned in the question.
Option D is invalid because this can be used to check config changes but not protect against threats mentioned in the quest
For more information on AWS WAF, please visit the following URL: https://aws.amazon.com/waf/details;
The correct answer is: AWS WAF
Submit your Feedback/Queries to our Experts"
114,"What is the function of the following AWS Key Management Service (KMS) key policy attached to a customer master key (CMK)?
","A. The Amazon WorkMail and Amazon SES services have delegated KMS encrypt and decrypt permissions to the ExampleUser principal in the 111122223333
account.",B. The ExampleUser principal can transparently encrypt and decrypt email exchanges specifically between ExampleUser and AWS.,"C. The CMK is to be used for encrypting and decrypting only when the principal is ExampleUser and therequest comes from WorkMail or SES in the specified
region.",D. The key policy allows WorkMail or SES to encrypt or decrypt on behalf of the user for any CMK in the account.,,,,,,,,,,C,
118,"Your company has just set up a new central server in a VPC. There is a requirement for other teams who have their servers located in different VPC's in the same
region to connect to the central server. Which of the below options is best suited to achieve this requirement.
Please select:
",A. Set up VPC peering between the central server VPC and each of the teams VPCs.,B. Set up AWS DirectConnect between the central server VPC and each of the teams VPCs.,C. Set up an IPSec Tunnel between the central server VPC and each of the teams VPCs.,D. None of the above options will work.,,,,,,,,,,A,"A VPC peering connection is a networking connection between two VPCs that enables you to route traffic between them using private IPv4 addresses or IPv6
addresses. Instances in either VPC can communicate with each other as if they are within the same network. You can create a VPC peering connection between
your own VPCs, or with a VPC in another AWS account within a single region.
Options B and C are invalid because you need to use VPC Peering Option D is invalid because VPC Peering is available
For more information on VPC Peering please see the below Link:
http://docs.aws.amazon.com/AmazonVPC/latest/UserGuide/vpc-peering.html
The correct answer is: Set up VPC peering between the central server VPC and each of the teams VPCs. Submit your Feedback/Queries to our Experts"
123,"A company has an existing AWS account and a set of critical resources hosted in that account. The employee who was in-charge of the root account has left the
company. What must be now done to secure the account.
Choose 3 answers from the options given below. Please select:
",A. Change the access keys for all 1AM users.,B. Delete all custom created 1AM policies,C. Delete the access keys for the root account,D. Confirm MFAtoa secure device,E. Change the password for the root account,F. Change the password for all 1AM users,,,,,,,,CDE,"Now if the root account has a chance to be compromised, then you have to carry out the below steps
1. Delete the access keys for the root account
2. Confirm MFA to a secure device
3. Change the password for the root account
This will ensure the employee who has left has no change to compromise the resources in AWS. Option A is invalid because this would hamper the working of the
current IAM users
Option B is invalid because this could hamper the current working of services in your AWS account Option F is invalid because this would hamper the working of
the current IAM users
For more information on IAM root user, please visit the following URL: https://docs.aws.amazon.com/IAM/latest/UserGuide/id root-user.html
The correct answers are: Delete the access keys for the root account Confirm MFA to a secure device. Change the password for the root account
Submit Your Feedback/Queries to our Experts"
128,"You have an S3 bucket hosted in AWS. This is used to host promotional videos uploaded by yourself. You need to provide access to users for a limited duration of
time. How can this be achieved?
Please select:
",A. Use versioning and enable a timestamp for each version,B. Use Pre-signed URL's,C. Use 1AM Roles with a timestamp to limit the access,D. Use 1AM policies with a timestamp to limit the access,,,,,,,,,,B,"The AWS Documentation mentions the following
All objects by default are private. Only the object owner has permission to access these objects. However, the object owner can optionally share objects with
others by creating a pre-signed URL using their own security credentials, to grant time-limited permission to download the objects.
Option A is invalid because this can be used to prevent accidental deletion of objects Option C is invalid because timestamps are not possible for Roles
Option D is invalid because policies is not the right way to limit access based on time For more information on pre-signed URL's, please visit the URL:
https://docs.aws.ama2on.com/AmazonS3/latest/dev/ShareObiectPreSisnedURL.html
The correct answer is: Use Pre-signed URL's Submit your Feedback/Queries to our Experts"
131,"A Developer who is following AWS best practices for secure code development requires an application to encrypt sensitive data to be stored at rest, locally in the
application, using AWS KMS. What is the simplest and MOST secure way to decrypt this data when required?
",A. Request KMS to provide the stored unencrypted data key and then use the retrieved data key to decrypt the data.,B. Keep the plaintext data key stored in Amazon DynamoDB protected with IAM policie,C. Query DynamoDB to retrieve the data key to decrypt the data,"D. Use the Encrypt API to store an encrypted version of the data key with another customer managed key.Decrypt the data key and use it to decrypt the data when
required.",E. Store the encrypted data key alongside the encrypted dat,F. Use the Decrypt API to retrieve the data key to decrypt the data when required.,,,,,,,,D,
132,"A company requires that IP packet data be inspected for invalid or malicious content. Which of the following approaches achieve this requirement? (Choose two.)
",A. Configure a proxy solution on Amazon EC2 and route all outbound VPC traffic through i,B. Perform inspection within proxy software on the EC2 instance.,C. Configure the host-based agent on each EC2 instance within the VP,D. Perform inspection within the host-based agent.,E. Enable VPC Flow Logs for all subnets in the VP,F. Perform inspection from the Flow Log data within Amazon CloudWatch Logs.,G. Configure Elastic Load Balancing (ELB) access log,H. Perform inspection from the log data within the ELB access log files.,I. Configure the CloudWatch Logs agent on each EC2 instance within the VP,J. Perform inspection from the log data within CloudWatch Logs.,,,,AB,
136,"A Devops team is currently looking at the security aspect of their CI/CD pipeline. They are making use of AWS resource? for their infrastructure. They want to
ensure that the EC2 Instances don't have any high security vulnerabilities. They want to ensure a complete DevSecOps process. How can this be achieved?
Please select:
",A. Use AWS Config to check the state of the EC2 instance for any sort of security issues.,B. Use AWS Inspector API's in the pipeline for the EC2 Instances,C. Use AWS Trusted Advisor API's in the pipeline for the EC2 Instances,D. Use AWS Security Groups to ensure no vulnerabilities are present,,,,,,,,,,B,"Amazon Inspector offers a programmatic way to find security defects or misconfigurations in your operating systems and applications. Because you can use API
calls to access both the processing of assessments and the results of your assessments, integration of the findings into workflow and notification systems is
simple.
DevOps teams can integrate Amazon Inspector into their CI/CD pipelines and use it to identify any
pre-existing issues or when new issues are introduced.
Option A.C and D are all incorrect since these services cannot check for Security Vulnerabilities. These can only be checked by the AWS Inspector service.
For more information on AWS Security best practices, please refer to below URL: https://d1.awsstatic.com/whitepapers/Security/AWS Security Best Practices.pdl
The correct answer is: Use AWS Inspector API's in the pipeline for the EC2 Instances Submit your Feedback/Queries to our Experts"
139,"An EC2 Instance hosts a Java based application that access a DynamoDB table. This EC2 Instance is currently serving production based users. Which of the
following is a secure way of ensuring that the EC2 Instance access the Dynamo table
Please select:
",A. Use 1AM Roles with permissions to interact with DynamoDB and assign it to the EC2 Instance,B. Use KMS keys with the right permissions to interact with DynamoDB and assign it to the EC2 Instance,C. Use 1AM Access Keys with the right permissions to interact with DynamoDB and assign it to the EC2 Instance,D. Use 1AM Access Groups with the right permissions to interact with DynamoDB and assign it to the EC2 Instance,,,,,,,,,,A,"To always ensure secure access to AWS resources from EC2 Instances, always ensure to assign a Role to the EC2 Instance Option B is invalid because KMS
keys are not used as a mechanism for providing EC2 Instances access to AWS services. Option C is invalid Access keys is not a safe mechanism for providing
EC2 Instances access to AWS services. Option D is invalid because there is no way access groups can be assigned to EC2 Instances. For more information on
1AM Roles, please refer to the below URL:
https://docs.aws.amazon.com/IAM/latest/UserGuide/id roles.html
The correct answer is: Use 1AM Roles with permissions to interact with DynamoDB and assign it to the EC2 Instance Submit your Feedback/Queries to our
Experts"
144,"Your company is hosting a set of EC2 Instances in AWS. They want to have the ability to detect if any port scans occur on their AWS EC2 Instances. Which of the
following can help in this regard?
Please select:
",A. Use AWS inspector to consciously inspect the instances for port scans,B. Use AWS Trusted Advisor to notify of any malicious port scans,C. Use AWS Config to notify of any malicious port scans,D. Use AWS Guard Duty to monitor any malicious port scans,,,,,,,,,,D,"The AWS blogs mention the following to support the use of AWS GuardDuty
GuardDuty voraciously consumes multiple data streams, including several threat intelligence feeds, staying aware of malicious addresses, devious domains, and
more importantly, learning to accurately identify malicious or unauthorized behavior in your AWS accounts. In combination with information gleaned from your VPC
Flow Logs, AWS CloudTrail Event Logs, and DNS logs, th allows GuardDuty to detect many different types of dangerous and mischievous behavior including
probes for known vulnerabilities, port scans and probes, and access from unusual locations. On the AWS side, it looks for suspicious AWS account activity such as
unauthorized deployments, unusual CloudTrail activity, patterns of access to AWS API functions, and attempts to exceed multiple service limits. GuardDuty will
also look for compromised EC2 instances talking to malicious entities or services, data exfiltration attempts, and instances that are mining cryptocurrency.
Options A, B and C are invalid because these services cannot be used to detect port scans For more information on AWS Guard Duty, please refer to the below
Link:
https://aws.amazon.com/blogs/aws/amazon-guardduty-continuous-security-monitoring-threat-detection; (
The correct answer is: Use AWS Guard Duty to monitor any malicious port scans Submit your Feedback/Queries to our Experts"
148,"You want to launch an EC2 Instance with your own key pair in AWS. How can you achieve this? Choose 3 answers from the options given below.
Please select:
",A. Use a third party tool to create the Key pair,B. Create a new key pair using the AWS CLI,C. Import the public key into EC2,D. Import the private key into EC2,,,,,,,,,,ABC,"This is given in the AWS Documentation Creating a Key Pair
You can use Amazon EC2 to create your key pair. For more information, see Creating a Key Pair Using Amazon EC2.
Alternatively, you could use a third-party tool and then import the public key to Amazon EC2. For more information, see Importing Your Own Public Key to Amazon
EC2.
Option B is Correct, because you can use the AWS CLI to create a new key pair 1 https://docs.aws.amazon.com/cli/latest/userguide/cli-ec2-keypairs.html
Option D is invalid because the public key needs to be stored in the EC2 Instance For more information on EC2 Key pairs, please visit the below URL:
* https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-key-pairs
The correct answers are: Use a third party tool to create the Key pair. Create a new key pair using the AWS CLI, Import the public key into EC2
Submit your Feedback/Queries to our Experts"
151,"An organization wants to deploy a three-tier web application whereby the application servers run on Amazon EC2 instances. These EC2 instances need access to
credentials that they will use to authenticate their SQL connections to an Amazon RDS DB instance. Also, AWS Lambda functions must issue queries to the RDS
database by using the same database credentials.
The credentials must be stored so that the EC2 instances and the Lambda functions can access them. No other access is allowed. The access logs must record
when the credentials were accessed and by whom.
What should the Security Engineer do to meet these requirements?
","A. Store the database credentials in AWS Key Management Service (AWS KMS). Create an IAM role with access to AWS KMS by using the EC2 and Lambda
service principals in the role’s trust polic",B. Add the role to an EC2 instance profil,C. Attach the instance profile to the EC2 instance,D. Set up Lambda to use the new role for execution.,E. Store the database credentials in AWS KM,F. Create an IAM role with access to KMS by using the EC2 and Lambda service principals in the role’s trust polic,G. Add the role to an EC2 instance profil,H. Attach the instance profile to the EC2 instances and the Lambda function.,I. Store the database credentials in AWS Secrets Manage,J. Create an IAM role with access to Secrets Manager by using the EC2 and Lambda service principals in the role’s trust polic,K. Add the role to an EC2 instance profil,L. Attach the instance profile to the EC2 instances and the Lambda function.,"M. Store the database credentials in AWS Secrets Manage
N. Create an IAM role with access to Secrets Manager by using the EC2 and Lambda service principals in the role’s trust polic
O. Add the role to an EC2 instance profil
P. Attach the instance profile to the EC2 instance
Q. Set up Lambda to use the new role for execution.",D,
155,"The AWS Systems Manager Parameter Store is being used to store database passwords used by an AWS Lambda function. Because this is sensitive data, the
parameters are stored as type SecureString and protected by an AWS KMS key that allows access through IAM. When the function executes, this parameter
cannot be retrieved as the result of an access denied error.
Which of the following actions will resolve the access denied error?
",A. Update the ssm.amazonaws.com principal in the KMS key policy to allow kms: Decrypt.,B. Update the Lambda configuration to launch the function in a VP,"C.
C. Add a policy to the role that the Lambda function uses, allowing kms: Decrypt for the KMS key.",D. Add lambda.amazonaws.com as a trusted entity on the IAM role that the Lambda function uses.,,,,,,,,,,A,
158,"A windows machine in one VPC needs to join the AD domain in another VPC. VPC Peering has been
established. But the domain join is not working. What is the other step that needs to be followed to ensure that the AD domain join can work as intended
Please select:
",A. Change the VPC peering connection to a VPN connection,B. Change the VPC peering connection to a Direct Connect connection,C. Ensure the security groups for the AD hosted subnet has the right rule for relevant subnets,D. Ensure that the AD is placed in a public subnet,,,,,,,,,,C,"In addition to VPC peering and setting the right route tables, the security groups for the AD EC2 instance needs to ensure the right rules are put in place for
allowing incoming traffic.
Option A and B is invalid because changing the connection type will not help. This is a problem with the Security Groups.
Option D is invalid since the AD should not be placed in a public subnet
For more information on allowing ingress traffic for AD, please visit the following url
|https://docs.aws.amazon.com/quickstart/latest/active-directory-ds/ingress.html|
The correct answer is: Ensure the security groups for the AD hosted subnet has the right rule for relevant subnets Submit your Feedback/Queries to our Experts"
163,"A user has created a VPC with the public and private subnets using the VPC wizard. The VPC has CIDR 20.0.0.0/16. The public subnet uses CIDR 20.0.1.0/24.
The user is planning to host a web server in the public subnet with port 80 and a Database server in the private subnet with port 3306. The user is configuring a
security group for the public subnet (WebSecGrp) and the private subnet (DBSecGrp). which of the below mentioned entries is required in the private subnet
database security group DBSecGrp?
Please select:
",A. Allow Inbound on port 3306 for Source Web Server Security Group WebSecGrp.,B. Allow Inbound on port 3306 from source 20.0.0.0/16,C. Allow Outbound on port 3306 for Destination Web Server Security Group WebSecGrp.,D. Allow Outbound on port 80 for Destination NAT Instance IP,,,,,,,,,,A,"Since the Web server needs to talk to the database server on port 3306 that means that the database server should allow incoming traffic on port 3306. The below
table from the aws documentation shows how the security groups should be set up.
C:\Users\wk\Desktop\mudassar\Untitled.jpg
Option B is invalid because you need to allow incoming access for the database server from the WebSecGrp security group.
Options C and D are invalid because you need to allow Outbound traffic and not inbound traffic For more information on security groups please visit the below
Link:
http://docs.aws.amazon.com/AmazonVPC/latest/UserGuide/VPC
Scenario2.html
The correct answer is: Allow Inbound on port 3306 for Source Web Server Security Group WebSecGrp. Submit your Feedback/Queries to our Experts"
164,"Your company is planning on using bastion hosts for administering the servers in AWS. Which of the
following is the best description of a bastion host from a security perspective? Please select:
",A. A Bastion host should be on a private subnet and never a public subnet due to security concerns,"B. A Bastion host sits on the outside of an internal network and is used as a gateway into the private network and is considered the critical strong point of the
network",C. Bastion hosts allow users to log in using RDP or SSH and use that session to S5H into internal network to access private subnet resources.,D. A Bastion host should maintain extremely tight security and monitoring as it is available to the public,,,,,,,,,,C,"A bastion host is a special purpose computer on a network specifically designed and configured to withstand attacks. The computer generally hosts a single
application, for example a proxy server, and all other services are removed or limited to reduce the threat to the computer.
In AWS, A bastion host is kept on a public subnet. Users log on to the bastion host via SSH or RDP and then use that session to manage other hosts in the private
subnets.
Options A and B are invalid because the bastion host needs to sit on the public network. Option D is invalid because bastion hosts are not used for monitoring For
more information on bastion hosts, just browse to the below URL:
https://docsaws.amazon.com/quickstart/latest/linux-bastion/architecture.htl
The correct answer is: Bastion hosts allow users to log in using RDP or SSH and use that session to SSH into internal network to access private subnet resources.
Submit your Feedback/Queries to our Experts"
165,"An employee keeps terminating EC2 instances on the production environment. You've determined the best way to ensure this doesn't happen is to add an extra
layer of defense against terminating the instances. What is the best method to ensure the employee does not terminate the production instances? Choose the 2
correct answers from the options below
Please select:
","A. Tag the instance with a production-identifying tag and add resource-level permissions to the employee user with an explicit deny on the terminate API call to
instances with the production ta",B. <,"C. Tag the instance with a production-identifying tag and modify the employees group to allow only start stop, and reboot API calls and not the terminate instance
call.",D. Modify the 1AM policy on the user to require MFA before deleting EC2 instances and disable MFA access to the employee,E. Modify the 1AM policy on the user to require MFA before deleting EC2 instances,,,,,,,,,AB,"Tags enable you to categorize your AWS resources in different ways, for example, by purpose, owner, or environment. This is useful when you have many
resources of the same type — you can quickly identify a specific resource based on the tags you've assigned to it. Each tag consists of a key and an optional value,
both of which you define
Options C&D are incorrect because it will not ensure that the employee cannot terminate the instance. For more information on tagging answer resources please
refer to the below URL: http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/Usins_Tags.htmll
The correct answers are: Tag the instance with a production-identifying tag and add resource-level permissions to the employe user with an explicit deny on the
terminate API call to instances with the production tag.. Tag the instance with a production-identifying tag and modify the employees group to allow only start stop,
and reboot API calls and not the terminate instance
Submit your Feedback/Queries to our Experts"
168,"In response to the past DDoS attack experiences, a Security Engineer has set up an Amazon CloudFront distribution for an Amazon S3 bucket. There is concern
that some users may bypass the CloudFront distribution and access the S3 bucket directly.
What must be done to prevent users from accessing the S3 objects directly by using URLs?
",A. Change the S3 bucket/object permission so that only the bucket owner has access.,"B. Set up a CloudFront origin access identity (OAI), and change the S3 bucket/object permission so that only the OAI has access.","C. Create IAM roles for CloudFront, and change the S3 bucket/object permission so that only the IAM role has access.",D. Redirect S3 bucket access to the corresponding CloudFront distribution.,,,,,,,,,,B,
172,"While analyzing a company's security solution, a Security Engineer wants to secure the AWS account root user.
What should the Security Engineer do to provide the highest level of security for the account?
",A. Create a new IAM user that has administrator permissions in the AWS accoun,B. Delete the password for the AWS account root user.,C. Create a new IAM user that has administrator permissions in the AWS accoun,D. Modify the permissions for the existing IAM users.,E. Replace the access key for the AWS account root use,F. Delete the password for the AWS account root user.,G. Create a new IAM user that has administrator permissions in the AWS accoun,H. Enable multi-factor authentication for the AWS account root user.,,,,,,D,"If you continue to use the root user credentials, we recommend that you follow the security best practice to enable multi-factor authentication (MFA) for your
account. Because your root user can perform sensitive operations in your account, adding an additional layer of authentication helps you to better secure your
account. Multiple types of MFA are available."
176,"AWS CloudTrail is being used to monitor API calls in an organization. An audit revealed that CloudTrail is failing to deliver events to Amazon S3 as expected.
What initial actions should be taken to allow delivery of CloudTrail events to S3? (Select two.)
",A. Verify that the S3 bucket policy allow CloudTrail to write objects.,B. Verify that the IAM role used by CloudTrail has access to write to Amazon CloudWatch Logs.,C. Remove any lifecycle policies on the S3 bucket that are archiving objects to Amazon Glacier.,D. Verify that the S3 bucket defined in CloudTrail exists.,E. Verify that the log file prefix defined in CloudTrail exists in the S3 bucket.,,,,,,,,,AD,
181,"A security alert has been raised for an Amazon EC2 instance in a customer account that is exhibiting strange behavior. The Security Engineer must first isolate the
EC2 instance and then use tools for further investigation.
What should the Security Engineer use to isolate and research this event? (Choose three.)
",A. AWS CloudTrail,B. Amazon Athena,C. AWS Key Management Service (AWS KMS),D. VPC Flow Logs,E. AWS Firewall Manager,F. Security groups,,,,,,,,ADF,
183,"You have an instance setup in a test environment in AWS. You installed the required application and the promoted the server to a production environment. Your IT
Security team has advised that there maybe traffic flowing in from an unknown IP address to port 22. How can this be mitigated immediately?
Please select:
",A. Shutdown the instance,B. Remove the rule for incoming traffic on port 22 for the Security Group,C. Change the AMI for the instance,D. Change the Instance type for the instance,,,,,,,,,,B,"In the test environment the security groups might have been opened to all IP addresses for testing purpose. Always to ensure to remove this rule once all testing is
completed.
Option A, C and D are all invalid because this would affect the application running on the server. The easiest way is just to remove the rule for access on port 22.
For more information on authorizing access to an instance, please visit the below URL: https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizingaccess-to-an-instance.htmll
The correct answer is: Remove the rule for incoming traffic on port 22 for the Security Group Submit your Feedback/Queries to our Experts"
185,"The Security Engineer implemented a new vault lock policy for 10TB of data and called initiate-vault-lock 12 hours ago. The Audit team identified a typo that is
allowing incorrect access to the vault.
What is the MOST cost-effective way to correct this?
","A. Call the abort-vault-lock operation, fix the typo, and call the initiate-vault-lock again.","B. Copy the vault data to Amazon S3, delete the vault, and create a new vault with the data.","C. Update the policy, keeping the vault lock in place.",D. Update the policy and call initiate-vault-lock again to apply the new policy.,,,,,,,,,,A,
